foreground/background,brand-50,brand-100,brand-200,brand-300,brand-400,brand-500,brand-600,brand-700,brand-800,brand-900,accent-300,accent-400,accent-500,accent-600,clay-50,clay-100,clay-500,clay-700,ink-100,ink-200,ink-300,ink-400,ink-500,ink-700,ink-800,ink-900,surface,section
brand-50,1.000000,1.104393,1.317857,1.672930,2.154604,2.982358,5.025449,7.034727,9.261351,13.547174,1.042642,1.145944,1.287417,1.909993,1.015306,1.156213,3.793056,6.447832,1.034015,1.171003,1.639412,3.181471,4.516919,9.248333,13.049775,16.021895,1.068832,1.002595
brand-100,1.104393,1.000000,1.193285,1.514795,1.950939,2.700449,4.550416,6.369766,8.385917,12.266620,1.059226,1.037623,1.165723,1.729450,1.087744,1.046922,3.434515,5.838347,1.068063,1.060314,1.484446,2.880741,4.089955,8.374130,11.816238,14.507417,1.180411,1.101535
brand-200,1.317857,1.193285,1.000000,1.269432,1.634930,2.263037,3.813351,5.338007,7.027586,10.279703,1.263959,1.150019,1.023644,1.449318,1.297989,1.139804,2.878201,4.892666,1.274505,1.125408,1.243999,2.414126,3.427474,7.017709,9.902273,12.157541,1.408568,1.314446
brand-300,1.672930,1.514795,1.269432,1.000000,1.287922,1.782716,3.003981,4.205034,5.536007,8.097873,1.604510,1.459871,1.299446,1.141705,1.647710,1.446904,2.267313,3.854215,1.617897,1.428629,1.020445,1.901736,2.700005,5.528226,7.800551,9.577147,1.788082,1.668600
brand-400,2.154604,1.950939,1.634930,1.287922,1.000000,1.384179,2.332424,3.264975,4.298401,6.287547,2.066485,1.880200,1.673586,1.128069,2.122122,1.863500,1.760442,2.992584,2.083726,1.839964,1.314254,1.476592,2.096404,4.292359,6.056693,7.436121,2.302911,2.149028
brand-500,2.982358,2.700449,2.263037,1.782716,1.384179,1.000000,1.685059,2.358780,3.105379,4.542437,2.860385,2.602534,2.316543,1.561450,2.937398,2.579418,1.271831,2.161991,2.884251,2.546840,1.819163,1.066764,1.514546,3.101014,4.375657,5.372224,3.187641,2.974640
brand-600,5.025449,4.550416,3.813351,3.003981,2.332424,1.685059,1.000000,1.399821,1.842890,2.695714,4.819917,4.385424,3.903512,2.631135,4.949689,4.346472,1.324908,1.283036,4.860133,4.291575,3.065397,1.579599,1.112583,1.840300,2.596738,3.188152,5.371363,5.012443
brand-700,7.034727,6.369766,5.338007,4.205034,3.264975,2.358780,1.399821,1.000000,1.316519,1.925757,6.747020,6.138807,5.464217,3.683117,6.928677,6.084281,1.854633,1.091022,6.803314,6.007436,4.291006,2.211155,1.557417,1.314668,1.855051,2.277543,7.518945,7.016521
brand-800,9.261351,8.385917,7.027586,5.536007,4.298401,3.105379,1.842890,1.316519,1.000000,1.462764,8.882578,8.081854,7.193744,4.848893,9.121733,8.010070,2.441660,1.436351,8.956691,7.908902,5.649190,2.911028,2.050369,1.001408,1.409057,1.729974,9.898832,9.237382
brand-900,13.547174,12.266620,10.279703,8.097873,6.287547,4.542437,2.695714,1.925757,1.462764,1.000000,12.993119,11.821849,10.522753,7.092788,13.342946,11.716846,3.571573,2.101043,13.101528,11.568860,8.263435,4.258148,2.999207,1.464823,1.038116,1.182674,14.479659,13.512113
accent-300,1.042642,1.059226,1.263959,1.604510,2.066485,2.860385,4.819917,6.747020,8.882578,12.993119,1.000000,1.099077,1.234764,1.831878,1.026924,1.108926,3.637927,6.184127,1.008344,1.123111,1.572363,3.051355,4.332186,8.870093,12.516063,15.366629,1.114410,1.039944
